Codigo;Nombre del proveedor;Tipo de servicio;Importe en soles;Mes;
441240;EMP.REG.SERV.PUB.ELECT.ELECTROSUR S       ;Servicios Publicos;1698.5;Marzo;
441275;SEDAM HUANCAYO S.A.      ;Servicios Publicos;727.9;Marzo;
441275;SEDAM HUANCAYO S.A.      ;Servicios Publicos;21.06;Marzo;
441333;ELECTROCENTRO        ;Servicios Publicos;5411.9;Marzo;
441384;SEDALIB S.A.       ;Servicios Publicos;3620.1;Marzo;
441444;SEDACHIMBOTE S.A.       ;Servicios Publicos;598.6;Marzo;
T13868;COESTI S.A.       ;Servicios Publicos;3460.33;Marzo;
440948;SOCIEDAD ELECTRICA DEL SUR OESTE S   ;Servicios Publicos;437.9;Marzo;
440954;Sedapar        ;Servicios Publicos;166.1;Marzo;
441078;EMP REG DE SERV PUB DE ELECT DL NOR;Servicios Publicos;14260;Marzo;
441333;ELECTROCENTRO        ;Servicios Publicos;460.1;Marzo;
441353;Superintendencia del Mercado de Valores    ;Valores ;42532.46;Marzo;
441542;MUNICIPALIDAD DISTRITAL DE MOTUPE     ;Impuestos;156803.55;Marzo;
442538;ELECTRO PUNO S.A.A.      ;Servicios Publicos;6461.9;Marzo;
458643;Tupay Quispe Alejandra      ;Alquiler;6000;Marzo;
460378;EMAPA HUANCAVELICA S.A.C.;Servicios Publicos;151.6;Marzo;
482293;Nouchi Zea       ;Alquiler;9500;Marzo;
482744;RELSA        ;Alquiler;3696.5;Marzo;
